0.00.044.381 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.044.979 W srv  llama_server: -----------------
0.00.044.981 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.044.981 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.044.981 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.044.981 W srv  llama_server: -----------------
0.00.046.239 I srv    load_model: loading model '/home/mark/Downloads/Qwen3.8-27B-AD-IQ2_S.gguf'
VMEAN tap: no live V layers — add disabled
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
0.05.316.309 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.05.316.334 W no implementations specified for speculative decoding
0.05.316.338 W no implementations specified for speculative decoding
0.05.316.338 W no implementations specified for speculative decoding
0.05.316.338 W no implementations specified for speculative decoding
0.05.330.388 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.05.330.424 I srv  llama_server: model loaded
0.05.330.429 I srv  llama_server: listening on http://127.0.0.1:8080
0.08.973.329 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1 (best rejected sim = 0.000)
0.08.973.374 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
TCQ decode: context-adaptive V alpha enabled
0.09.110.756 W slot   operator(): id  0 | task 0 | created context checkpoint 1 of 32 (pos_min = 41, pos_max = 41, n_tokens = 42, size = 149.626 MiB)
0.09.217.429 W slot   operator(): id  0 | task 0 | created context checkpoint 2 of 32 (pos_min = 64, pos_max = 64, n_tokens = 65, size = 149.626 MiB)
0.11.074.131 I slot print_timing: id  0 | task 0 | prompt eval time =     302.05 ms /    69 tokens (    4.38 ms per token,   228.44 tokens per second)
0.11.074.135 I slot print_timing: id  0 | task 0 |        eval time =    1798.68 ms /    52 tokens (   34.59 ms per token,    28.91 tokens per second)
0.11.074.136 I slot print_timing: id  0 | task 0 |       total time =    2100.72 ms /   121 tokens
0.11.074.138 I slot print_timing: id  0 | task 0 |    graphs reused =         51
0.11.074.173 I slot      release: id  0 | task 0 | stop processing: n_tokens = 120, truncated = 0
0.11.092.725 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.381 (> 0.100 thold), f_keep = 0.375
0.11.350.052 I slot launch_slot_: id  0 | task 55 | processing task, is_child = 0
0.11.357.351 W slot   operator(): id  0 | task 55 | restored context checkpoint (pos_min = 41, pos_max = 41, n_tokens = 42, n_past = 42, size = 149.626 MiB)
0.11.444.236 W slot   operator(): id  0 | task 55 | created context checkpoint 2 of 32 (pos_min = 41, pos_max = 41, n_tokens = 42, size = 149.626 MiB)
0.11.718.258 W slot   operator(): id  0 | task 55 | created context checkpoint 3 of 32 (pos_min = 113, pos_max = 113, n_tokens = 114, size = 149.626 MiB)
0.15.301.846 I slot print_timing: id  0 | task 55 | n_decoded =    100, tg =  28.30 t/s, tg_3s =  28.30 t/s
0.18.310.419 I slot print_timing: id  0 | task 55 | n_decoded =    185, tg =  28.28 t/s, tg_3s =  28.25 t/s
0.21.312.368 I slot print_timing: id  0 | task 55 | n_decoded =    271, tg =  28.40 t/s, tg_3s =  28.65 t/s
0.24.340.676 I slot print_timing: id  0 | task 55 | n_decoded =    358, tg =  28.48 t/s, tg_3s =  28.73 t/s
0.27.351.360 I slot print_timing: id  0 | task 55 | n_decoded =    442, tg =  28.36 t/s, tg_3s =  27.90 t/s
0.30.365.842 I slot print_timing: id  0 | task 55 | n_decoded =    528, tg =  28.39 t/s, tg_3s =  28.53 t/s
0.33.376.006 I slot print_timing: id  0 | task 55 | n_decoded =    614, tg =  28.42 t/s, tg_3s =  28.57 t/s
0.36.406.643 I slot print_timing: id  0 | task 55 | n_decoded =    700, tg =  28.41 t/s, tg_3s =  28.38 t/s
0.39.426.406 I slot print_timing: id  0 | task 55 | n_decoded =    786, tg =  28.42 t/s, tg_3s =  28.48 t/s
0.42.451.726 I slot print_timing: id  0 | task 55 | n_decoded =    872, tg =  28.42 t/s, tg_3s =  28.43 t/s
0.45.456.791 I slot print_timing: id  0 | task 55 | n_decoded =    953, tg =  28.29 t/s, tg_3s =  26.95 t/s
0.48.478.991 I slot print_timing: id  0 | task 55 | n_decoded =   1039, tg =  28.30 t/s, tg_3s =  28.46 t/s
0.51.506.279 I slot print_timing: id  0 | task 55 | n_decoded =   1125, tg =  28.31 t/s, tg_3s =  28.41 t/s
0.54.519.135 I slot print_timing: id  0 | task 55 | n_decoded =   1210, tg =  28.30 t/s, tg_3s =  28.21 t/s
0.57.548.220 I slot print_timing: id  0 | task 55 | n_decoded =   1294, tg =  28.27 t/s, tg_3s =  27.73 t/s
1.00.582.769 I slot print_timing: id  0 | task 55 | n_decoded =   1380, tg =  28.27 t/s, tg_3s =  28.34 t/s
1.03.609.307 I slot print_timing: id  0 | task 55 | n_decoded =   1465, tg =  28.26 t/s, tg_3s =  28.08 t/s
1.06.632.066 I slot print_timing: id  0 | task 55 | n_decoded =   1551, tg =  28.27 t/s, tg_3s =  28.45 t/s
1.09.666.718 I slot print_timing: id  0 | task 55 | n_decoded =   1637, tg =  28.27 t/s, tg_3s =  28.34 t/s
1.12.666.975 I slot print_timing: id  0 | task 55 | n_decoded =   1721, tg =  28.26 t/s, tg_3s =  28.00 t/s
1.15.690.646 I slot print_timing: id  0 | task 55 | n_decoded =   1807, tg =  28.27 t/s, tg_3s =  28.44 t/s
1.18.720.308 I slot print_timing: id  0 | task 55 | n_decoded =   1893, tg =  28.27 t/s, tg_3s =  28.39 t/s
1.21.739.066 I slot print_timing: id  0 | task 55 | n_decoded =   1969, tg =  28.14 t/s, tg_3s =  25.18 t/s
1.24.772.356 I slot print_timing: id  0 | task 55 | n_decoded =   2055, tg =  28.15 t/s, tg_3s =  28.35 t/s
1.27.802.398 I slot print_timing: id  0 | task 55 | n_decoded =   2141, tg =  28.16 t/s, tg_3s =  28.38 t/s
1.30.809.446 I slot print_timing: id  0 | task 55 | n_decoded =   2225, tg =  28.15 t/s, tg_3s =  27.93 t/s
1.33.811.801 I slot print_timing: id  0 | task 55 | n_decoded =   2310, tg =  28.16 t/s, tg_3s =  28.31 t/s
1.36.844.407 I slot print_timing: id  0 | task 55 | n_decoded =   2396, tg =  28.16 t/s, tg_3s =  28.36 t/s
1.39.852.060 I slot print_timing: id  0 | task 55 | n_decoded =   2480, tg =  28.16 t/s, tg_3s =  27.93 t/s
1.42.863.967 I slot print_timing: id  0 | task 55 | n_decoded =   2565, tg =  28.16 t/s, tg_3s =  28.22 t/s
1.45.893.961 I slot print_timing: id  0 | task 55 | n_decoded =   2651, tg =  28.16 t/s, tg_3s =  28.38 t/s
1.48.898.173 I slot print_timing: id  0 | task 55 | n_decoded =   2735, tg =  28.16 t/s, tg_3s =  27.96 t/s
1.51.912.614 I slot print_timing: id  0 | task 55 | n_decoded =   2820, tg =  28.16 t/s, tg_3s =  28.20 t/s
1.54.917.197 I slot print_timing: id  0 | task 55 | n_decoded =   2905, tg =  28.16 t/s, tg_3s =  28.29 t/s
1.57.919.029 I slot print_timing: id  0 | task 55 | n_decoded =   2989, tg =  28.16 t/s, tg_3s =  27.98 t/s
2.00.837.600 I slot print_timing: id  0 | task 55 | prompt eval time =     418.56 ms /    76 tokens (    5.51 ms per token,   181.57 tokens per second)
2.00.837.604 I slot print_timing: id  0 | task 55 |        eval time =  109068.95 ms /  3072 tokens (   35.50 ms per token,    28.17 tokens per second)
2.00.837.605 I slot print_timing: id  0 | task 55 |       total time =  109487.52 ms /  3148 tokens
2.00.837.605 I slot print_timing: id  0 | task 55 |    graphs reused =       3109
2.00.837.638 I slot      release: id  0 | task 55 | stop processing: n_tokens = 3189, truncated = 0
2.00.851.425 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.460 (> 0.100 thold), f_keep = 0.014
2.01.204.874 I slot launch_slot_: id  0 | task 3129 | processing task, is_child = 0
2.01.212.356 W slot   operator(): id  0 | task 3129 | restored context checkpoint (pos_min = 41, pos_max = 41, n_tokens = 42, n_past = 42, size = 149.626 MiB)
2.01.306.086 W slot   operator(): id  0 | task 3129 | created context checkpoint 3 of 32 (pos_min = 41, pos_max = 41, n_tokens = 42, size = 149.626 MiB)
2.01.426.218 W slot   operator(): id  0 | task 3129 | created context checkpoint 4 of 32 (pos_min = 95, pos_max = 95, n_tokens = 96, size = 149.626 MiB)
2.04.920.821 I slot print_timing: id  0 | task 3129 | n_decoded =    100, tg =  29.01 t/s, tg_3s =  29.01 t/s
2.07.951.026 I slot print_timing: id  0 | task 3129 | n_decoded =    187, tg =  28.87 t/s, tg_3s =  28.71 t/s
2.10.976.083 I slot print_timing: id  0 | task 3129 | n_decoded =    274, tg =  28.84 t/s, tg_3s =  28.76 t/s
2.14.001.163 I slot print_timing: id  0 | task 3129 | n_decoded =    361, tg =  28.82 t/s, tg_3s =  28.76 t/s
