0.00.031.472 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.032.057 W srv  llama_server: -----------------
0.00.032.058 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.032.059 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.032.059 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.032.059 W srv  llama_server: -----------------
0.00.033.408 I srv    load_model: loading model '/mnt/nas/Models/Bonsai/Ternary-Bonsai-27B-Q2_g64.gguf'
VMEAN tap: graph add armed, 16 live layers (pdim 6144)
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
TCQ decode: context-adaptive V alpha enabled
3.22.547.418 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
3.22.547.583 W no implementations specified for speculative decoding
3.22.547.589 W no implementations specified for speculative decoding
3.22.547.589 W no implementations specified for speculative decoding
3.22.547.589 W no implementations specified for speculative decoding
3.22.564.287 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
3.22.564.414 I srv  llama_server: model loaded
3.22.564.433 I srv  llama_server: listening on http://127.0.0.1:8080
3.27.060.319 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1 (best rejected sim = 0.000)
3.27.060.428 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
3.27.735.222 W slot   operator(): id  0 | task 0 | created context checkpoint 1 of 32 (pos_min = 22, pos_max = 22, n_tokens = 23, size = 149.626 MiB)
3.30.905.966 I slot print_timing: id  0 | task 0 | n_decoded =    134, tg =  44.45 t/s, tg_3s =  44.45 t/s
3.33.045.951 I slot print_timing: id  0 | task 0 | prompt eval time =     830.63 ms /    27 tokens (   30.76 ms per token,    32.51 tokens per second)
3.33.045.955 I slot print_timing: id  0 | task 0 |        eval time =    5154.86 ms /   231 tokens (   22.32 ms per token,    44.81 tokens per second)
3.33.045.955 I slot print_timing: id  0 | task 0 |       total time =    5985.49 ms /   258 tokens
3.33.045.958 I slot print_timing: id  0 | task 0 |    graphs reused =        229
3.33.046.020 I slot      release: id  0 | task 0 | stop processing: n_tokens = 257, truncated = 0
3.33.070.861 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1 (best rejected sim = 0.039)
3.33.070.898 I slot launch_slot_: id  1 | task 233 | processing task, is_child = 0
3.33.345.924 W slot   operator(): id  1 | task 233 | created context checkpoint 1 of 32 (pos_min = 71, pos_max = 71, n_tokens = 72, size = 149.626 MiB)
3.36.378.280 I slot print_timing: id  1 | task 233 | n_decoded =    152, tg =  50.65 t/s, tg_3s =  50.65 t/s
3.39.387.816 I slot print_timing: id  1 | task 233 | n_decoded =    301, tg =  50.08 t/s, tg_3s =  49.51 t/s
3.42.398.420 I slot print_timing: id  1 | task 233 | n_decoded =    452, tg =  50.10 t/s, tg_3s =  50.16 t/s
3.45.417.115 I slot print_timing: id  1 | task 233 | n_decoded =    595, tg =  49.42 t/s, tg_3s =  47.37 t/s
3.48.435.925 I slot print_timing: id  1 | task 233 | n_decoded =    746, tg =  49.54 t/s, tg_3s =  50.02 t/s
3.51.449.908 I slot print_timing: id  1 | task 233 | n_decoded =    897, tg =  49.63 t/s, tg_3s =  50.10 t/s
3.54.450.469 I slot print_timing: id  1 | task 233 | n_decoded =   1047, tg =  49.68 t/s, tg_3s =  49.99 t/s
3.56.405.519 I slot print_timing: id  1 | task 233 | prompt eval time =     142.07 ms /    76 tokens (    1.87 ms per token,   534.96 tokens per second)
3.56.405.522 I slot print_timing: id  1 | task 233 |        eval time =   23028.31 ms /  1145 tokens (   20.11 ms per token,    49.72 tokens per second)
3.56.405.523 I slot print_timing: id  1 | task 233 |       total time =   23170.38 ms /  1221 tokens
3.56.405.524 I slot print_timing: id  1 | task 233 |    graphs reused =       1368
3.56.405.621 I slot      release: id  1 | task 233 | stop processing: n_tokens = 1220, truncated = 0
3.56.420.009 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1 (best rejected sim = 0.069)
3.56.420.046 I slot launch_slot_: id  2 | task 1380 | processing task, is_child = 0
3.56.708.313 W slot   operator(): id  2 | task 1380 | created context checkpoint 1 of 32 (pos_min = 53, pos_max = 53, n_tokens = 54, size = 149.626 MiB)
3.59.740.381 I slot print_timing: id  2 | task 1380 | n_decoded =    152, tg =  50.64 t/s, tg_3s =  50.64 t/s
4.02.743.014 I slot print_timing: id  2 | task 1380 | n_decoded =    303, tg =  50.46 t/s, tg_3s =  50.29 t/s
4.05.757.773 I slot print_timing: id  2 | task 1380 | n_decoded =    455, tg =  50.45 t/s, tg_3s =  50.42 t/s
4.08.771.188 I slot print_timing: id  2 | task 1380 | n_decoded =    606, tg =  50.36 t/s, tg_3s =  50.11 t/s
4.11.788.684 I slot print_timing: id  2 | task 1380 | n_decoded =    757, tg =  50.30 t/s, tg_3s =  50.04 t/s
4.14.804.399 I slot print_timing: id  2 | task 1380 | n_decoded =    908, tg =  50.26 t/s, tg_3s =  50.07 t/s
4.17.150.638 I slot print_timing: id  2 | task 1380 | prompt eval time =     125.55 ms /    58 tokens (    2.16 ms per token,   461.99 tokens per second)
4.17.150.642 I slot print_timing: id  2 | task 1380 |        eval time =   20411.97 ms /  1025 tokens (   19.91 ms per token,    50.22 tokens per second)
4.17.150.642 I slot print_timing: id  2 | task 1380 |       total time =   20537.52 ms /  1083 tokens
4.17.150.643 I slot print_timing: id  2 | task 1380 |    graphs reused =       2387
4.17.150.660 I slot      release: id  2 | task 1380 | stop processing: n_tokens = 1082, truncated = 0
4.17.163.847 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1 (best rejected sim = 0.055)
4.17.163.889 I slot launch_slot_: id  3 | task 2407 | processing task, is_child = 0
4.17.443.270 W slot   operator(): id  3 | task 2407 | created context checkpoint 1 of 32 (pos_min = 50, pos_max = 50, n_tokens = 51, size = 149.626 MiB)
4.20.489.164 I slot print_timing: id  3 | task 2407 | n_decoded =    150, tg =  49.74 t/s, tg_3s =  49.74 t/s
4.23.502.312 I slot print_timing: id  3 | task 2407 | n_decoded =    301, tg =  49.93 t/s, tg_3s =  50.11 t/s
4.26.503.863 I slot print_timing: id  3 | task 2407 | n_decoded =    441, tg =  48.83 t/s, tg_3s =  46.64 t/s
4.29.521.925 I slot print_timing: id  3 | task 2407 | n_decoded =    582, tg =  48.30 t/s, tg_3s =  46.72 t/s
4.32.541.018 I slot print_timing: id  3 | task 2407 | n_decoded =    733, tg =  48.65 t/s, tg_3s =  50.01 t/s
4.35.551.783 I slot print_timing: id  3 | task 2407 | n_decoded =    879, tg =  48.62 t/s, tg_3s =  48.49 t/s
4.38.557.397 I slot print_timing: id  3 | task 2407 | n_decoded =   1029, tg =  48.80 t/s, tg_3s =  49.91 t/s
4.38.875.773 I slot print_timing: id  3 | task 2407 | prompt eval time =     126.37 ms /    55 tokens (    2.30 ms per token,   435.24 tokens per second)
4.38.875.776 I slot print_timing: id  3 | task 2407 |        eval time =   21402.50 ms /  1045 tokens (   20.48 ms per token,    48.83 tokens per second)
4.38.875.776 I slot print_timing: id  3 | task 2407 |       total time =   21528.87 ms /  1100 tokens
4.38.875.778 I slot print_timing: id  3 | task 2407 |    graphs reused =       3426
4.38.875.796 I slot      release: id  3 | task 2407 | stop processing: n_tokens = 1099, truncated = 0
4.38.896.917 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1213505829684 (best rejected sim = 0.047)
4.38.898.291 I slot launch_slot_: id  0 | task 3454 | processing task, is_child = 0
4.39.193.454 W slot   operator(): id  0 | task 3454 | created context checkpoint 1 of 32 (pos_min = 59, pos_max = 59, n_tokens = 60, size = 149.626 MiB)
4.42.227.095 I slot print_timing: id  0 | task 3454 | n_decoded =    144, tg =  47.93 t/s, tg_3s =  47.93 t/s
4.45.235.094 I slot print_timing: id  0 | task 3454 | n_decoded =    295, tg =  49.07 t/s, tg_3s =  50.20 t/s
4.48.244.051 I slot print_timing: id  0 | task 3454 | n_decoded =    444, tg =  49.22 t/s, tg_3s =  49.52 t/s
4.51.262.887 I slot print_timing: id  0 | task 3454 | n_decoded =    595, tg =  49.42 t/s, tg_3s =  50.02 t/s
4.54.265.182 I slot print_timing: id  0 | task 3454 | n_decoded =    742, tg =  49.33 t/s, tg_3s =  48.96 t/s
4.57.285.415 I slot print_timing: id  0 | task 3454 | n_decoded =    890, tg =  49.27 t/s, tg_3s =  49.00 t/s
5.00.289.627 I slot print_timing: id  0 | task 3454 | n_decoded =   1032, tg =  48.99 t/s, tg_3s =  47.27 t/s
5.01.050.704 I slot print_timing: id  0 | task 3454 | prompt eval time =     131.45 ms /    64 tokens (    2.05 ms per token,   486.88 tokens per second)
5.01.050.709 I slot print_timing: id  0 | task 3454 |        eval time =   21828.03 ms /  1070 tokens (   20.40 ms per token,    49.02 tokens per second)
5.01.050.709 I slot print_timing: id  0 | task 3454 |       total time =   21959.48 ms /  1134 tokens
5.01.050.710 I slot print_timing: id  0 | task 3454 |    graphs reused =       4490
5.01.050.728 I slot      release: id  0 | task 3454 | stop processing: n_tokens = 1133, truncated = 0
5.01.071.897 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 1213529189286 (best rejected sim = 0.048)
5.01.071.962 I slot launch_slot_: id  1 | task 4526 | processing task, is_child = 0
5.01.400.696 W slot   operator(): id  1 | task 4526 | created context checkpoint 1 of 32 (pos_min = 57, pos_max = 57, n_tokens = 58, size = 149.626 MiB)
5.04.445.209 I slot print_timing: id  1 | task 4526 | n_decoded =    150, tg =  49.77 t/s, tg_3s =  49.77 t/s
