0.00.043.097 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.043.957 W srv  llama_server: -----------------
0.00.043.959 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.043.959 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.043.959 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.043.959 W srv  llama_server: -----------------
0.00.045.404 I srv    load_model: loading model '/home/mark/Downloads/Qwen3.8-27B-AD-IQ2_S.gguf'
VMEAN tap: no live V layers — add disabled
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
0.05.493.274 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.05.493.299 W no implementations specified for speculative decoding
0.05.493.303 W no implementations specified for speculative decoding
0.05.493.303 W no implementations specified for speculative decoding
0.05.493.304 W no implementations specified for speculative decoding
0.05.509.153 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.05.509.188 I srv  llama_server: model loaded
0.05.509.192 I srv  llama_server: listening on http://127.0.0.1:8080
0.08.981.678 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1 (best rejected sim = 0.000)
0.08.987.742 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
TCQ decode: context-adaptive V alpha enabled
0.09.117.883 W slot   operator(): id  0 | task 0 | created context checkpoint 1 of 32 (pos_min = 41, pos_max = 41, n_tokens = 42, size = 149.626 MiB)
0.09.226.925 W slot   operator(): id  0 | task 0 | created context checkpoint 2 of 32 (pos_min = 64, pos_max = 64, n_tokens = 65, size = 149.626 MiB)
0.11.087.402 I slot print_timing: id  0 | task 0 | prompt eval time =     297.91 ms /    69 tokens (    4.32 ms per token,   231.61 tokens per second)
0.11.087.405 I slot print_timing: id  0 | task 0 |        eval time =    1801.71 ms /    52 tokens (   34.65 ms per token,    28.86 tokens per second)
0.11.087.406 I slot print_timing: id  0 | task 0 |       total time =    2099.62 ms /   121 tokens
0.11.087.409 I slot print_timing: id  0 | task 0 |    graphs reused =         51
0.11.087.440 I slot      release: id  0 | task 0 | stop processing: n_tokens = 120, truncated = 0
0.11.106.855 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.381 (> 0.100 thold), f_keep = 0.375
0.11.333.144 I slot launch_slot_: id  0 | task 55 | processing task, is_child = 0
0.11.340.349 W slot   operator(): id  0 | task 55 | restored context checkpoint (pos_min = 41, pos_max = 41, n_tokens = 42, n_past = 42, size = 149.626 MiB)
0.11.427.724 W slot   operator(): id  0 | task 55 | created context checkpoint 2 of 32 (pos_min = 41, pos_max = 41, n_tokens = 42, size = 149.626 MiB)
0.11.653.803 W slot   operator(): id  0 | task 55 | created context checkpoint 3 of 32 (pos_min = 113, pos_max = 113, n_tokens = 114, size = 149.626 MiB)
0.15.165.409 I slot print_timing: id  0 | task 55 | n_decoded =    100, tg =  28.90 t/s, tg_3s =  28.90 t/s
0.18.167.683 I slot print_timing: id  0 | task 55 | n_decoded =    184, tg =  28.47 t/s, tg_3s =  27.98 t/s
0.21.185.064 I slot print_timing: id  0 | task 55 | n_decoded =    270, tg =  28.48 t/s, tg_3s =  28.50 t/s
0.24.195.998 I slot print_timing: id  0 | task 55 | n_decoded =    356, tg =  28.50 t/s, tg_3s =  28.56 t/s
0.27.208.223 I slot print_timing: id  0 | task 55 | n_decoded =    439, tg =  28.32 t/s, tg_3s =  27.55 t/s
0.30.241.892 I slot print_timing: id  0 | task 55 | n_decoded =    525, tg =  28.32 t/s, tg_3s =  28.35 t/s
0.33.268.385 I slot print_timing: id  0 | task 55 | n_decoded =    611, tg =  28.33 t/s, tg_3s =  28.42 t/s
0.36.290.300 I slot print_timing: id  0 | task 55 | n_decoded =    696, tg =  28.31 t/s, tg_3s =  28.13 t/s
0.39.295.165 I slot print_timing: id  0 | task 55 | n_decoded =    781, tg =  28.31 t/s, tg_3s =  28.29 t/s
0.42.330.229 I slot print_timing: id  0 | task 55 | n_decoded =    867, tg =  28.31 t/s, tg_3s =  28.34 t/s
0.45.348.101 I slot print_timing: id  0 | task 55 | n_decoded =    948, tg =  28.18 t/s, tg_3s =  26.84 t/s
0.48.364.498 I slot print_timing: id  0 | task 55 | n_decoded =   1033, tg =  28.18 t/s, tg_3s =  28.18 t/s
0.51.378.581 I slot print_timing: id  0 | task 55 | n_decoded =   1118, tg =  28.18 t/s, tg_3s =  28.20 t/s
0.54.378.682 I slot print_timing: id  0 | task 55 | n_decoded =   1196, tg =  28.03 t/s, tg_3s =  26.00 t/s
0.57.404.941 I slot print_timing: id  0 | task 55 | n_decoded =   1281, tg =  28.03 t/s, tg_3s =  28.09 t/s
1.00.429.824 I slot print_timing: id  0 | task 55 | n_decoded =   1366, tg =  28.03 t/s, tg_3s =  28.10 t/s
1.03.435.167 I slot print_timing: id  0 | task 55 | n_decoded =   1450, tg =  28.03 t/s, tg_3s =  27.95 t/s
1.06.461.598 I slot print_timing: id  0 | task 55 | n_decoded =   1535, tg =  28.03 t/s, tg_3s =  28.09 t/s
1.09.490.180 I slot print_timing: id  0 | task 55 | n_decoded =   1620, tg =  28.03 t/s, tg_3s =  28.07 t/s
1.12.505.356 I slot print_timing: id  0 | task 55 | n_decoded =   1704, tg =  28.03 t/s, tg_3s =  27.86 t/s
1.15.522.606 I slot print_timing: id  0 | task 55 | n_decoded =   1789, tg =  28.03 t/s, tg_3s =  28.17 t/s
1.18.545.885 I slot print_timing: id  0 | task 55 | n_decoded =   1874, tg =  28.04 t/s, tg_3s =  28.12 t/s
1.21.563.701 I slot print_timing: id  0 | task 55 | n_decoded =   1950, tg =  27.91 t/s, tg_3s =  25.18 t/s
1.24.580.481 I slot print_timing: id  0 | task 55 | n_decoded =   2035, tg =  27.92 t/s, tg_3s =  28.18 t/s
1.27.602.226 I slot print_timing: id  0 | task 55 | n_decoded =   2120, tg =  27.93 t/s, tg_3s =  28.13 t/s
1.30.626.877 I slot print_timing: id  0 | task 55 | n_decoded =   2204, tg =  27.93 t/s, tg_3s =  27.77 t/s
1.33.642.648 I slot print_timing: id  0 | task 55 | n_decoded =   2289, tg =  27.94 t/s, tg_3s =  28.19 t/s
1.36.662.674 I slot print_timing: id  0 | task 55 | n_decoded =   2374, tg =  27.94 t/s, tg_3s =  28.15 t/s
1.39.686.934 I slot print_timing: id  0 | task 55 | n_decoded =   2458, tg =  27.94 t/s, tg_3s =  27.78 t/s
1.42.706.350 I slot print_timing: id  0 | task 55 | n_decoded =   2540, tg =  27.91 t/s, tg_3s =  27.16 t/s
1.45.710.806 I slot print_timing: id  0 | task 55 | n_decoded =   2624, tg =  27.91 t/s, tg_3s =  27.96 t/s
1.48.737.545 I slot print_timing: id  0 | task 55 | n_decoded =   2708, tg =  27.91 t/s, tg_3s =  27.75 t/s
1.51.759.820 I slot print_timing: id  0 | task 55 | n_decoded =   2793, tg =  27.91 t/s, tg_3s =  28.12 t/s
1.54.781.156 I slot print_timing: id  0 | task 55 | n_decoded =   2878, tg =  27.92 t/s, tg_3s =  28.13 t/s
1.57.809.746 I slot print_timing: id  0 | task 55 | n_decoded =   2962, tg =  27.92 t/s, tg_3s =  27.74 t/s
2.00.838.002 I slot print_timing: id  0 | task 55 | n_decoded =   3047, tg =  27.92 t/s, tg_3s =  28.07 t/s
2.01.732.084 I slot print_timing: id  0 | task 55 | prompt eval time =     371.64 ms /    76 tokens (    4.89 ms per token,   204.50 tokens per second)
2.01.732.089 I slot print_timing: id  0 | task 55 |        eval time =  110021.26 ms /  3072 tokens (   35.81 ms per token,    27.92 tokens per second)
2.01.732.090 I slot print_timing: id  0 | task 55 |       total time =  110392.91 ms /  3148 tokens
2.01.732.091 I slot print_timing: id  0 | task 55 |    graphs reused =       3109
2.01.732.507 I slot      release: id  0 | task 55 | stop processing: n_tokens = 3189, truncated = 0
2.01.749.283 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.460 (> 0.100 thold), f_keep = 0.014
2.02.133.876 I slot launch_slot_: id  0 | task 3129 | processing task, is_child = 0
2.02.141.614 W slot   operator(): id  0 | task 3129 | restored context checkpoint (pos_min = 41, pos_max = 41, n_tokens = 42, n_past = 42, size = 149.626 MiB)
2.02.239.268 W slot   operator(): id  0 | task 3129 | created context checkpoint 3 of 32 (pos_min = 41, pos_max = 41, n_tokens = 42, size = 149.626 MiB)
2.02.357.433 W slot   operator(): id  0 | task 3129 | created context checkpoint 4 of 32 (pos_min = 95, pos_max = 95, n_tokens = 96, size = 149.626 MiB)
2.05.886.792 I slot print_timing: id  0 | task 3129 | n_decoded =    100, tg =  28.72 t/s, tg_3s =  28.72 t/s
2.08.890.580 I slot print_timing: id  0 | task 3129 | n_decoded =    185, tg =  28.53 t/s, tg_3s =  28.30 t/s
2.11.922.521 I slot print_timing: id  0 | task 3129 | n_decoded =    271, tg =  28.47 t/s, tg_3s =  28.36 t/s
2.14.951.641 I slot print_timing: id  0 | task 3129 | n_decoded =    357, tg =  28.45 t/s, tg_3s =  28.39 t/s
2.17.961.124 I slot print_timing: id  0 | task 3129 | n_decoded =    442, tg =  28.41 t/s, tg_3s =  28.24 t/s
2.20.966.682 I slot print_timing: id  0 | task 3129 | n_decoded =    527, tg =  28.39 t/s, tg_3s =  28.28 t/s
2.24.000.765 I slot print_timing: id  0 | task 3129 | n_decoded =    613, tg =  28.39 t/s, tg_3s =  28.34 t/s
2.27.018.988 I slot print_timing: id  0 | task 3129 | n_decoded =    698, tg =  28.36 t/s, tg_3s =  28.16 t/s
2.30.041.434 I slot print_timing: id  0 | task 3129 | n_decoded =    783, tg =  28.33 t/s, tg_3s =  28.12 t/s
2.33.051.258 I slot print_timing: id  0 | task 3129 | n_decoded =    868, tg =  28.32 t/s, tg_3s =  28.24 t/s
2.36.068.866 I slot print_timing: id  0 | task 3129 | n_decoded =    953, tg =  28.31 t/s, tg_3s =  28.17 t/s
2.39.096.573 I slot print_timing: id  0 | task 3129 | n_decoded =   1038, tg =  28.29 t/s, tg_3s =  28.07 t/s
2.42.116.147 I slot print_timing: id  0 | task 3129 | n_decoded =   1123, tg =  28.28 t/s, tg_3s =  28.15 t/s
2.45.137.090 I slot print_timing: id  0 | task 3129 | n_decoded =   1208, tg =  28.27 t/s, tg_3s =  28.14 t/s
2.48.160.931 I slot print_timing: id  0 | task 3129 | n_decoded =   1293, tg =  28.26 t/s, tg_3s =  28.11 t/s
2.51.183.063 I slot print_timing: id  0 | task 3129 | n_decoded =   1378, tg =  28.25 t/s, tg_3s =  28.13 t/s
2.54.212.560 I slot print_timing: id  0 | task 3129 | n_decoded =   1463, tg =  28.24 t/s, tg_3s =  28.06 t/s
