0.00.141.244 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.142.424 W srv  llama_server: -----------------
0.00.142.426 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.142.426 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.142.426 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.142.426 W srv  llama_server: -----------------
0.00.144.104 I srv    load_model: loading model '/home/mark/Downloads/Qwen3.8-27B-AD-IQ2_S.gguf'
VMEAN tap: no live V layers — add disabled
0.06.023.807 W llama_init_from_model: turbo/VBR KV cache requires flash attention — enabling automatically
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
0.06.285.336 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.06.285.361 W no implementations specified for speculative decoding
0.06.285.365 W no implementations specified for speculative decoding
0.06.285.365 W no implementations specified for speculative decoding
0.06.285.365 W no implementations specified for speculative decoding
0.06.302.502 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.302.544 I srv  llama_server: model loaded
0.06.302.548 I srv  llama_server: listening on http://127.0.0.1:8080
0.11.047.272 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1 (best rejected sim = 0.000)
0.11.047.355 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
TCQ decode: context-adaptive V alpha enabled
0.11.182.204 W slot   operator(): id  0 | task 0 | created context checkpoint 1 of 32 (pos_min = 41, pos_max = 41, n_tokens = 42, size = 149.626 MiB)
0.11.289.128 W slot   operator(): id  0 | task 0 | created context checkpoint 2 of 32 (pos_min = 64, pos_max = 64, n_tokens = 65, size = 149.626 MiB)
0.13.145.117 I slot print_timing: id  0 | task 0 | prompt eval time =     299.88 ms /    69 tokens (    4.35 ms per token,   230.09 tokens per second)
0.13.145.121 I slot print_timing: id  0 | task 0 |        eval time =    1797.83 ms /    52 tokens (   34.57 ms per token,    28.92 tokens per second)
0.13.145.122 I slot print_timing: id  0 | task 0 |       total time =    2097.71 ms /   121 tokens
0.13.145.124 I slot print_timing: id  0 | task 0 |    graphs reused =         51
0.13.145.158 I slot      release: id  0 | task 0 | stop processing: n_tokens = 120, truncated = 0
0.13.164.764 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.381 (> 0.100 thold), f_keep = 0.375
0.13.767.740 I slot launch_slot_: id  0 | task 55 | processing task, is_child = 0
0.13.775.261 W slot   operator(): id  0 | task 55 | restored context checkpoint (pos_min = 41, pos_max = 41, n_tokens = 42, n_past = 42, size = 149.626 MiB)
